Gene				Gene			Proper_Name	Chromo	BPKM (polyA-)	BPKM (polyA+)	FoldChange	WaldStat	GeneDescription		
uc003nhg.1	NM_021018	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3F	NM_021018	NP_066298	Hist1h3f	chr6	2555.3	0.6	4596.6	77.2	"histone cluster 1, H3f"		
uc003nhd.2	NM_005320	B2R751	B2R751_HUMAN	HIST1H1D	NM_005320	NP_005311	Hist1h1d	chr6	1525.6	0.7	2292.6	76.9	"histone cluster 1, H1d"		
uc003niw.2	NM_021064	Q96QV6	H2A1A_HUMAN	HIST1H2AG	NM_021064	NP_066408	Hist1h2ag	chr6	2374.6	2.3	1046.8	76.7	"histone cluster 1, H2ag"		
uc003nha.1	NM_021052	Q96QV6	H2A1A_HUMAN	HIST1H2AE	NM_021052	NP_066390	Hist1h2ae	chr6	2089.7	1.0	2081.2	76.7	"histone cluster 1, H2ae"		
uc003nkb.1	NM_003514	Q96QV6	H2A1A_HUMAN	HIST1H2AM	NM_003514	NP_003505	Hist1h2am	chr6	2340.9	1.8	1323.5	75.4	"histone cluster 1, H2am"		
uc003nfr.2	NM_003544	B2R4R0	B2R4R0_HUMAN	HIST1H4B	NM_003544	NP_003535	Hist1h4b	chr6	3155.1	1.1	2886.3	74.9	"histone cluster 1, H4b"		
uc003nkc.1	NM_003527	Q6DRA6	H2B2D_HUMAN	HIST1H2BO	NM_003527	NP_003518	Hist1h2bo	chr6	2251.3	0.9	2521.0	72.5	"histone cluster 1, H2bo"		
uc001yyf.2	NR_003335			PWCR1	NR_003335		Pwcr1	chr15	907.9	27.8	32.7	72.3	"Homo sapiens PWCR1 mRNA, complete sequence."		
uc003ngw.2	NM_021065	Q96QV6	H2A1A_HUMAN	HIST1H2AD	NM_021065	NP_066409	Hist1h2ad	chr6	2253.1	0.2	11870.1	71.9	"histone cluster 1, H2ad"		
uc003nhi.2	NM_003534	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3G	NM_003534	NP_003525	Hist1h3g	chr6	2177.7	1.1	1952.1	71.2	"H3 histone family, member H"		
uc003ngz.2	NM_003518	Q6DRA6	H2B2D_HUMAN	HIST1H2BG	NM_003518	NP_003509	Hist1h2bg	chr6	2137.8	4.1	517.0	68.8	"histone cluster 1, H2bg"		
uc003ngl.2	NM_003526	Q6DRA6	H2B2D_HUMAN	HIST1H2BC	NM_003526	NP_003517	Hist1h2bc	chr6	738.9	0.4	1682.1	66.3	"histone cluster 1, H2bc"		
uc003nka.2	NM_003535	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3J	NM_003535	NP_003526	Hist1h3j	chr6	1813.8	0.9	2080.4	65.7	"histone cluster 1, H3j"		
uc003ngi.2	NM_003542	B2R4R0	B2R4R0_HUMAN	HIST1H4C	NM_003542	NP_003533	Hist1h4c	chr6	1922.8	0.9	2247.4	61.1	"histone cluster 1, H4c"		
uc001rcf.3	NM_175054	B2R4R0	B2R4R0_HUMAN	HIST4H4	NM_175054	NP_778224	Hist4h4	chr12	388.3	1.2	326.2	60.8	"histone cluster 4, H4"		
uc003njw.2	NM_003511	Q96QV6	H2A1A_HUMAN	HIST1H2AL	NM_003511	NP_003502	Hist1h2al	chr6	1420.7	1.2	1182.6	57.7	"histone cluster 1, H2al"		
uc003njy.2	NM_003533	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3I	NM_003533	NP_003524	Hist1h3i	chr6	1378.2	0.5	2509.9	57.2	"histone cluster 1, H3i"		
uc003nft.1	NM_003513	Q96QV6	H2A1A_HUMAN	HIST1H2AB	NM_003513	NP_003504	Hist1h2ab	chr6	1113.6	0.1	10392.3	51.5	"histone cluster 1, H2ab"		
uc003nfq.2	NM_003538	B2R4R0	B2R4R0_HUMAN	HIST1H4A	NM_003538	NP_003529	Hist1h4a	chr6	1257.0	3.5	361.2	48.1	"histone cluster 1, H4a"		
uc003ngt.2	NM_003523	Q6DRA6	H2B2D_HUMAN	HIST1H2BE	NM_003523	NP_003514	Hist1h2be	chr6	1062.3	2.2	484.3	47.9	"histone cluster 1, H2be"		
uc003njl.2	NM_003519	Q6DRA6	H2B2D_HUMAN	HIST1H2BL	NM_003519	NP_003510	Hist1h2bl	chr6	990.0	0.8	1284.1	47.2	"histone cluster 1, H2bl"		
uc001ete.2	NM_175065	Q8IUE6	H2A2B_HUMAN	HIST2H2AB	NM_175065	NP_778235	Hist2h2ab	chr1	936.4	0.2	4804.5	45.7	"histone cluster 2, H2ab"		
uc003nhh.2	NM_003524	Q6DRA6	H2B2D_HUMAN	HIST1H2BH	NM_003524	NP_003515	Hist1h2bh	chr6	982.5	6.1	162.2	45.3	"histone cluster 1, H2bh"		
uc003nfp.1	NM_003529	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3A	NM_003529	NP_003520	Hist1h3a	chr6	839.3	0.5	1621.3	44.3	"histone cluster 1, H3a"		
uc003njv.2	NM_003520	Q6DRA6	H2B2D_HUMAN	HIST1H2BN	NM_003520	NP_003511	Hist1h2bn	chr6	513.7	0.3	1771.1	43.9	"histone cluster 1, H2bn"		
uc003nfw.2	NM_005319	A8K4I2	A8K4I2_HUMAN	HIST1H1C	NM_005319	NP_005310	Hist1h1c	chr6	493.7	2.7	183.7	42.2	"histone cluster 1, H1c"		
uc003nix.1	NM_080593	A4FU05	A4FU05_HUMAN	HIST1H2BK	NM_080593	NP_542160	Hist1h2bk	chr6	425.4	1.5	280.2	41.6	"histone cluster 1, H2bk"		
uc001etd.2	NM_003517	Q96QV6	H2A1A_HUMAN	HIST2H2AC	NM_003517	NP_003508	Hist2h2ac	chr1	789.4	0.7	1152.8	41.4	"histone cluster 2, H2ac"		
uc003njn.1	NM_021066	Q96QV6	H2A1A_HUMAN	HIST1H2AJ	NM_021066	NP_066544	Hist1h2aj	chr6	729.8	0.1	5930.8	40.0	"histone cluster 1, H2aj"		
uc003ffr.1	NR_001566			TERC	NR_001566		Terc	chr3	699.1	0.7	1033.9	39.6	Homo sapiens cDNA clone IMAGE	40002477	
uc003ngq.2	NM_005321	A3R0T8	A3R0T8_HUMAN	HIST1H1E	NM_005321	NP_005312	Hist1h1e	chr6	351.4	0.4	790.5	37.0	"histone cluster 1, H1e"		
uc003njs.2	NM_003510	Q96QV6	H2A1A_HUMAN	HIST1H2AK	NM_003510	NP_003501	Hist1h2ak	chr6	582.3	1.1	553.0	36.5	"histone cluster 1, H2ak"		
uc003njz.2	NM_003546	B2R4R0	B2R4R0_HUMAN	HIST1H4L	NM_003546	NP_003537	Hist1h4l	chr6	681.4	0.1	5678.0	35.1	"histone cluster 1, H4l"		
uc003nhk.2	NM_003525	Q6DRA6	H2B2D_HUMAN	HIST1H2BI	NM_003525	NP_003516	Hist1h2bi	chr6	508.8	0.5	999.9	33.3	"histone cluster 1, H2bi"		
uc001etc.2	NM_003528	Q6DRA6	H2B2D_HUMAN	HIST2H2BE	NM_003528	NP_003519	Hist2h2be	chr1	93.5	1.1	85.1	31.8	"histone cluster 2, H2be"		
uc001hsz.2	NM_175055	B4DR52	B4DR52_HUMAN	HIST3H2BB	NM_175055	NP_778225	Hist3h2bb	chr1	445.1	0.2	2304.3	31.7	"histone cluster 3, H2bb"		
uc003ngx.2	NM_003522	Q6DRA6	H2B2D_HUMAN	HIST1H2BF	NM_003522	NP_003513	Hist1h2bf	chr6	466.0	1.6	300.1	31.5	"histone cluster 1, H2bf"		
uc003njo.2	NM_003521	B4DR52	B4DR52_HUMAN	HIST1H2BM	NM_003521	NP_003512	Hist1h2bm	chr6	424.7	0.9	482.1	30.7	"histone cluster 1, H2bm"		
uc009zeo.1	NR_004387			SCARNA10	NR_004387		Scarna10	chr12	535.4	0.2	2220.3	29.7	"Homo sapiens small Cajal body-specific RNA 10 (SCARNA10), non-coding RNA."		
uc003ngr.2	NM_021063	Q6DRA6	H2B2D_HUMAN	HIST1H2BD	NM_021063	NP_066407	Hist1h2bd	chr6	149.6	3.1	48.7	25.2	"histone cluster 1, H2bd"		
uc002qog.2	NM_006635	Q14592	ZN460_HUMAN	ZNF460	NM_006635	NP_006626	Znf460	chr19	39.3	3.6	11.0	25.0	zinc finger protein 460		
uc001yxc.2	AF319524			SNURF			Snurf	chr15	77.3	28.4	2.7	23.4	"Homo sapiens RT-LII mRNA, complete sequence."		
uc001yxc.2	AF319524			SNRPN			Snrpn	chr15	77.3	28.4	2.7	23.4	"Homo sapiens RT-LII mRNA, complete sequence."		
uc001hsy.2	NM_033445	Q96QV6	H2A1A_HUMAN	HIST3H2A	NM_033445	NP_254280	Hist3h2a	chr1	232.0	9.1	25.4	22.9	"histone cluster 3, H2a"		
uc003fgu.2	NM_005414	B4DT50	B4DT50_HUMAN	SKIL	NM_005414	NP_005405	Skil	chr3	59.8	20.3	2.9	20.9	SKI-like isoform 1		
uc003niy.1	NM_003495	B2R4R0	B2R4R0_HUMAN	HIST1H4I	NM_003495	NP_003486	Hist1H4I	chr6	227.4	3.0	75.0	20.2	"histone cluster 1, H4i"		
uc003ngy.2	NM_003545	B2R4R0	B2R4R0_HUMAN	HIST1H4E	NM_003545	NP_003536	Hist1H4E	chr6	220.1	10.4	21.1	19.3	"histone cluster 1, H4e"		
uc010pbj.1	NM_001161334	Q6DRA6	H2B2D_HUMAN	HIST2H2BF	NM_001161334	NP_001154806	Hist2H2Bf	chr1	24.7	0.0	1704.7	19.2	"histone cluster 2, H2bf isoform b"		
uc004bff.2	NM_133464	Q8TF39	ZN483_HUMAN	ZNF483	NM_133464	NP_597721	Znf483	chr9	22.4	5.1	4.4	19.1	zinc finger protein 483 isoform a		
uc001pdj.3	NM_001008781	Q8TDW7	FAT3_HUMAN	FAT3	NM_001008781	NP_001008781	Fat3	chr11	14.8	7.4	2.0	17.9	FAT tumor suppressor homolog 3		
uc003niv.2	NM_021058	Q6DRA6	H2B2D_HUMAN	HIST1H2BJ	NM_021058	NP_066402	Hist1h2bj	chr6	26.0	0.5	50.4	16.2	"histone cluster 1, H2bj"		
uc010nfp.2	NR_023358			SCARNA9L	NR_023358		Scarna9L	chrX	134.3	1.9	71.3	15.0	"Homo sapiens small Cajal body-specific RNA 9-like (retrotransposed) (SCARNA9L), non-coding RNA."		
uc001qsg.2	NR_003010			SCARNA12	NR_003010		Scarna12	chr12	190.4	11.2	16.9	15.0	"Homo sapiens small Cajal body-specific RNA 12 (SCARNA12), non-coding RNA."		
uc002lcz.2	NM_001003652	B7Z4Z5	B7Z4Z5_HUMAN	SMAD2	NM_001003652	NP_001003652	Smad2	chr18	13.2	5.7	2.3	14.8	Sma- and Mad-related protein 2 isoform 1		
uc001tey.1	NR_024037			NCRMS	NR_024037		Ncrms	chr12	20.1	3.0	6.6	14.4	"Homo sapiens C23up NCRMS mRNA, partial sequence; alternatively spliced."		
uc010xri.1	AK301230	B4DVU0	B4DVU0_HUMAN	AK301230			Ak301230	chr19	26.2	6.1	4.3	14.3	"SubName: Full=cDNA FLJ56866, moderately similar to Zinc finger protein 43;"		
uc001yel.2	NR_003002			SCARNA13	NR_003002		Scarna13	chr14	24.3	2.6	9.4	13.6	"Homo sapiens small Cajal body-specific RNA 13 (SCARNA13), non-coding RNA."		
uc001lwp.2	NR_002728			KCNQ1OT1	NR_002728		Kcnq1ot1	chr11	1.6	0.6	2.8	13.6	Homo sapiens full length insert cDNA clone YW18A11.		
uc010pbl.1	NM_001123375	Q6TXQ4	Q6TXQ4_HUMAN	HIST2H3D	NM_001123375	NP_001116847	Hist2h3d	chr1	83.2	0.0	0.0	13.0	"histone cluster 2, H3d"		
uc001pdv.2	NR_002569			SCARNA9	NR_002569		Scarna9	chr11	99.4	1.4	73.2	13.0	"Homo sapiens small Cajal body-specific RNA 9 (SCARNA9), non-coding RNA."		
uc010zfg.1	NM_133378	C0JYZ2	C0JYZ2_HUMAN	TTN	NM_133378	NP_596869	Ttn	chr2	1.1	0.5	2.2	12.9	titin isoform N2-A		
uc003iby.2	NR_003584			SNHG8	NR_003584		Snhg8	chr4	135.9	48.1	2.8	12.7	"Homo sapiens, clone IMAGE:4249217, mRNA."		
uc010hyw.1	NR_002586			SNORA63	NR_002586		Snora63	chr3	250.7	7.2	34.6	12.6	"Homo sapiens small nucleolar RNA, H/ACA box 63 (SNORA63), non-coding RNA."		
uc001owl.1	NR_000025			SNORD15B	NR_000025		Snord15b	chr11	216.8	1.2	179.2	12.5	"Homo sapiens small nucleolar RNA, C/D box 15B (SNORD15B), non-coding RNA."		
uc003ldv.1	NR_002915			SNORA74A	NR_002915		Snora74a	chr5	157.6	1.7	90.9	12.4	"Homo sapiens small nucleolar RNA, H/ACA box 74A (SNORA74A), non-coding RNA."		
uc002ghs.1	NR_002918			SNORA48	NR_002918		Snora48	chr17	235.0	4.8	49.3	12.3	"Homo sapiens small nucleolar RNA, H/ACA box 48 (SNORA48), non-coding RNA."		
uc003ibz.1	NR_002963			SNORA24	NR_002963		Snora24	chr4	235.2	3.6	65.1	12.2	"Homo sapiens small nucleolar RNA, H/ACA box 24 (SNORA24), non-coding RNA."		
uc003fdo.2	NR_003001			SCARNA7	NR_003001		Scarna7	chr3	88.5	1.1	83.3	11.9	"Homo sapiens small Cajal body-specific RNA 7 (SCARNA7), non-coding RNA."		
uc010ayk.2	NR_003333			SNORD116-18	NR_003333		Snord116-18	chr15	304.2	1.6	194.0	11.8	"Homo sapiens small nucleolar RNA, C/D box 116-18 (SNORD116-18), non-coding RNA."		
uc004feu.2	NM_001017980	Q3ZAQ7	VMA21_HUMAN	VMA21	NM_001017980	NP_001017980	Vma21	chrX	20.4	8.9	2.3	11.7	VMA21 vacuolar H+-ATPase homolog		
uc010mdq.2	NR_003367			Pvt1	NR_003367		Pvt1	chr8	18.2	5.0	3.6	11.6	"Homo sapiens Pvt1 oncogene (non-protein coding), mRNA (cDNA clone IMAGE:5517530), with apparent retained intron."		
uc001pqe.1	NM_002572	Q6IBR6	Q6IBR6_HUMAN	PAFAH1B2	NM_002572	NP_002563	Pafah1b2	chr11	42.0	19.8	2.1	11.3	"platelet-activating factor acetylhydrolase,"		
uc001hqw.1	NM_178549	Q5SXM1	ZN678_HUMAN	ZNF678	NM_178549	NP_848644	Znf678	chr1	12.0	2.8	4.2	10.6	zinc finger protein 678		
uc010ydl.1	NM_144684	Q8WV37	ZN480_HUMAN	ZNF480	NM_144684	NP_653285	Znf480	chr19	13.6	5.4	2.5	10.4	zinc finger protein 480		
uc001yyl.2	NR_003340			SNORD116-26	NR_003340		Snord116-26	chr15	210.4	1.0	211.6	10.0	"Homo sapiens small nucleolar RNA, C/D box 116-26 (SNORD116-26), non-coding RNA."		
uc002nre.2	NM_003430	A8MYJ4	A8MYJ4_HUMAN	ZNF91	NM_003430	NP_003421	Znf91	chr19	7.8	2.4	3.2	10.0	zinc finger protein 91		
uc001gsv.1	NM_004600	B2RBB9	B2RBB9_HUMAN	TROVE2	NM_004600	NP_004591	Trove2	chr1	11.3	5.5	2.1	10.0	"TROVE domain family, member 2 isoform 2"		
uc001icj.1	NM_003431	B3KNP3	B3KNP3_HUMAN	ZNF124	NM_003431	NP_003422	Znf124	chr1	8.7	1.8	4.9	10.0	zinc finger protein 124		
uc002gkh.3	NM_032354	B3KNL7	B3KNL7_HUMAN	TMEM107	NM_032354	NP_115730	Tmem107	chr17	8.5	1.1	7.6	9.9	transmembrane protein 107 isoform 1		
uc009vtj.1	NR_004407			RNU11	NR_004407		Rnu11	chr1	139.4	0.6	216.0	9.6	"Homo sapiens RNA, U11 small nuclear (RNU11), non-coding RNA."		
uc010hyv.1	NR_002989			SNORA81	NR_002989		Snora81	chr3	115.2	5.3	21.6	9.6	"Homo sapiens small nucleolar RNA, H/ACA box 81 (SNORA81), non-coding RNA."		
uc002rsn.2	NM_133329	Q53SC1	Q53SC1_HUMAN	KCNG3	NM_133329	NP_579875	Kcng3	chr2	10.3	3.1	3.3	9.5	"potassium voltage-gated channel, subfamily G,"		
uc001uub.1	NM_000059	Q5TBJ7	Q5TBJ7_HUMAN	BRCA2	NM_000059	NP_000050	Brca2	chr13	5.5	2.5	2.3	9.4	"breast cancer 2, early onset"		
uc003nfo.2	NM_005325	Q02539	H11_HUMAN	HIST1H1A	NM_005325	NP_005316	Hist1h1a	chr6	22.8	0.0	0.0	9.4	"histone cluster 1, H1a"		
uc002wqf.1	NR_003045			SNORD17	NR_003045		Snord17	chr20	88.8	6.6	13.4	9.4	"Homo sapiens small nucleolar RNA, C/D box 17 (SNORD17), non-coding RNA."		
uc003tmz.1	NR_002991			SNORA5C	NR_002991		Snora5C	chr7	130.7	1.3	101.4	9.4	"Homo sapiens small nucleolar RNA, H/ACA box 5C (SNORA5C), non-coding RNA."		
uc001mul.1	NM_005734	Q9H422	HIPK3_HUMAN	HIPK3	NM_005734	NP_005725	Hipk3	chr11	9.4	3.8	2.5	8.9	homeodomain interacting protein kinase 3 isoform		
uc001iqd.1	NM_178815	B0YIW9	B0YIW9_HUMAN	ARL5B	NM_178815	NP_848930	Arl5B	chr10	19.1	9.5	2.0	8.8	ADP-ribosylation factor-like 8		
uc002ght.2	NR_002604			SNORD10	NR_002604		Snord10	chr17	116.8	5.3	22.2	8.8	"Homo sapiens small nucleolar RNA, C/D box 10 (SNORD10), non-coding RNA."		
uc003nfv.2	NM_003531	Q6TXQ4	Q6TXQ4_HUMAN	HIST1H3C	NM_003531	NP_003522	Hist1h3c	chr6	33.6	0.0	0.0	8.8	"histone cluster 1, H3c"		
uc003ndj.2	NR_015410			FLJ22536	NR_015410		Flj22536	chr6	7.2	1.8	4.0	8.7	"Homo sapiens cDNA FLJ12803 fis, clone NT2RP2002172."		
uc001gnm.2	NM_022347	Q9H496	Q9H496_HUMAN	TOR1AIP2	NM_022347	NP_071742	Tor1aip2	chr1	25.7	9.8	2.6	8.6	interferon alpha responsive		
uc001mhp.1	NR_002962			SNORA23	NR_002962		Snora23	chr11	79.3	0.7	114.7	8.6	"Homo sapiens small nucleolar RNA, H/ACA box 23 (SNORA23), non-coding RNA."		
uc010ygt.1	NM_001023563	Q5CZA5	ZN805_HUMAN	ZNF805	NM_001023563	NP_001018857	Znf805	chr19	3.4	1.1	3.1	8.5	zinc finger protein 805 isoform 1		
uc002umo.2	BC070113			BC070113			Bc070113	chr2	5.4	1.7	3.3	8.5	"Homo sapiens cDNA FLJ36414 fis, clone THYMU2010848."		
uc002qot.2	NM_001024596	Q68DY9	ZN772_HUMAN	ZNF772	NM_001024596	NP_001019767	Znf772	chr19	6.4	2.2	2.9	8.4	zinc finger protein 772 isoform 1		
uc003ttz.2	NM_152626	Q03936	ZNF92_HUMAN	ZNF92	NM_152626	NP_689839	Znf92	chr7	10.3	3.4	3.0	8.2	zinc finger protein 92 isoform 2		
uc002vue.1	NR_003008			SCARNA5	NR_003008		Scarna5	chr2	48.1	0.2	306.9	8.1	"Homo sapiens small Cajal body-specific RNA 5 (SCARNA5), non-coding RNA."		
uc002vuf.1	NR_003006			SCARNA6	NR_003006		Scarna6	chr2	49.4	0.0	7536.9	8.1	"Homo sapiens small Cajal body-specific RNA 6 (SCARNA6), non-coding RNA."		
uc001lcg.2	NM_207303	Q5VV63	ATRN1_HUMAN	ATRNL1	NM_207303	NP_997186	Atrnl1	chr10	3.5	1.2	3.0	8.1	attractin-like 1 precursor		
uc001yym.2	NR_003341			SNORD116-27	NR_003341		Snord116-27	chr15	138.1	1.4	96.5	7.9	"Homo sapiens small nucleolar RNA, C/D box 116-27 (SNORD116-27), non-coding RNA."		
uc003ckv.3	NM_017886	Q96C45	ULK4_HUMAN	ULK4	NM_017886	NP_060356	Ulk4	chr3	5.1	1.6	3.1	7.6	unc-51-like kinase 4		
uc001ehf.2	NM_017686	Q9NXN4	GDAP2_HUMAN	GDAP2	NM_017686	NP_060156	Gdap2	chr1	3.5	1.3	2.6	7.6	ganglioside induced differentiation associated		
uc004bra.1	NR_002449			SNORA65	NR_002449		Snora65	chr9	83.9	1.0	86.5	7.5	"Homo sapiens small nucleolar RNA, H/ACA box 65 (SNORA65), non-coding RNA."		
uc009yge.2	NR_004403			SNORD97	NR_004403		Snord97	chr11	78.2	0.2	418.6	7.4	"Homo sapiens small nucleolar RNA, C/D box 97 (SNORD97), non-coding RNA."		
uc002nhq.1	NR_000012			SNORA68	NR_000012		Snora68	chr19	83.7	0.8	98.7	7.4	"Homo sapiens small nucleolar RNA, H/ACA box 68 (SNORA68), non-coding RNA."		
uc003tmy.2	NR_002919			SNORA5A	NR_002919		Snora5A	chr7	86.1	2.0	42.4	7.4	"Homo sapiens small nucleolar RNA, H/ACA box 5A (SNORA5A), non-coding RNA."		
uc001yxx.2	NR_003329			SNORD116-14	NR_003329		Snord116-14	chr15	112.7	1.0	109.4	7.2	"Homo sapiens small nucleolar RNA, C/D box 116-14 (SNORD116-14), non-coding RNA."		
uc003wsr.1	CR590086			CR590086			Cr590086	chr8	21.9	8.8	2.5	7.1	full-length cDNA clone CS0DF038YF19 of Fetal brain of Homo sapiens (human).		
uc001pjz.3	NM_002519	Q14207	NPAT_HUMAN	NPAT	NM_002519	NP_002510	Npat	chr11	5.6	2.7	2.1	7.1	"nuclear protein,  ataxia-telangiectasia locus"		
uc003ngj.2	NM_005323	P22492	H1T_HUMAN	HIST1H1T	NM_005323	NP_005314	Hist1h1t	chr6	13.3	0.0	0.0	6.9	"histone cluster 1, H1t"		
uc003zhr.2	NM_134428	P48380	RFX3_HUMAN	RFX3	NM_134428	NP_602304	Rfx3	chr9	6.7	2.8	2.4	6.8	regulatory factor X3 isoform b		
uc009yoa.1	NR_004390			SNORA57	NR_004390		Snora57	chr11	81.3	9.7	8.3	6.8	"Homo sapiens small nucleolar RNA, H/ACA box 57 (SNORA57), non-coding RNA."		
uc001pfk.1	NM_144665	P58005	SESN3_HUMAN	SESN3	NM_144665	NP_653266	Sesn3	chr11	14.8	7.3	2.0	6.8	sestrin 3		
uc009wcm.2	NM_032184	Q5VT97	SYDE2_HUMAN	SYDE2	NM_032184	NP_115560	Syde2	chr1	4.9	2.0	2.5	6.7	"synapse defective 1, Rho GTPase, homolog 2"		
uc002qbm.2	NM_001040185	Q7L2R6	ZN765_HUMAN	ZNF765	NM_001040185	NP_001035275	Znf765	chr19	4.9	2.2	2.2	6.7	zinc finger protein 765		
uc001tfu.1	NR_003015			SNORA53	NR_003015		Snora53	chr12	35.1	0.1	472.6	6.6	"Homo sapiens small nucleolar RNA, H/ACA box 53 (SNORA53), non-coding RNA."		
uc001wqc.2	BX538073			BX538073			Bx538073	chr14	2.5	0.0	201.4	6.6	"Homo sapiens, clone IMAGE:5733926, mRNA."		
uc003tte.2	NM_001013746	Q9UII5	ZN107_HUMAN	ZNF107	NM_001013746	NP_001013768	Znf107	chr7	3.8	1.3	3.0	6.6	zinc finger protein 107		
uc002xvo.2	NM_032521	Q9BYG5	PAR6B_HUMAN	PARD6B	NM_032521	NP_115910	Pard6B	chr20	6.6	3.0	2.2	6.5	PAR-6 beta		
uc001lrs.1	NR_002585			SNORA52	NR_002585		Snora52	chr11	72.1	4.3	16.7	6.5	"Homo sapiens small nucleolar RNA, H/ACA box 52 (SNORA52), non-coding RNA."		
uc001jmw.2	NM_013266	Q9UI47	CTNA3_HUMAN	CTNNA3	NM_013266	NP_037398	Ctnna3	chr10	2.7	0.6	4.9	6.5	"catenin, alpha 3"		
uc010cml.1	NR_002912			SNORA67	NR_002912		Snora67	chr17	76.1	7.6	10.0	6.4	"Homo sapiens small nucleolar RNA, H/ACA box 67 (SNORA67), non-coding RNA."		
uc002npw.2	NM_001076678	Q2M1I7	Q2M1I7_HUMAN	ZNF493	NM_001076678	NP_001070146	Znf493	chr19	3.9	1.6	2.5	6.4	zinc finger protein 493 isoform 3		
uc001urc.1	NR_002575			SNORA27	NR_002575		Snora27	chr13	64.3	0.8	79.7	6.3	"Homo sapiens small nucleolar RNA, H/ACA box 27 (SNORA27), non-coding RNA."		
uc002sch.2	NM_015910	O95876	CB086_HUMAN	C2orf86	NM_015910	NP_056994	C2orf86	chr2	3.6	1.6	2.2	6.2	hypothetical protein LOC51057 isoform 2		
uc001vll.1	NM_032229	A8K9S8	A8K9S8_HUMAN	SLITRK6	NM_032229	NP_115605	Slitrk6	chr13	2.0	0.1	24.3	6.2	slit and trk like 6 precursor		
uc002hyf.1	NM_018143	Q9NVR0	KLH11_HUMAN	KLHL11	NM_018143	NP_060613	Klhl11	chr17	8.2	2.9	2.8	6.0	kelch-like 11 precursor		
uc002uzt.3	NM_001114132	Q6ZS30-2	Q6ZS30-2	NBEAL1	NM_001114132	NP_001107604	Nbeal1	chr2	2.1	0.8	2.7	6.0	neurobeachin-like 1 isoform 3		
uc003ysm.1	BC137385			TMEM75			Tmem75	chr8	4.3	0.6	7.4	5.8	"Homo sapiens cDNA FLJ36105 fis, clone TESTI2021463."		
uc003mba.2	NM_022897	Q546R4	Q546R4_HUMAN	RANBP17	NM_022897	NP_075048	Ranbp17	chr5	2.7	1.3	2.2	5.8	RAN binding protein 17		
