Genes	rep_10	rep_12	rep_13	rep_15	rep_19	rep_20	rep_21	Ave_ratio	Category	SampleSize	Category_Nbr	Dot_color
Tfe3	NA	1	NA	NA	NA	NA	0	0.5	Early	2	1	black
Gripap1	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
Xiap	NA	0.888888889	NA	NA	0.292929293	0	0.005714286	0.296883117	Early	4	1	black
Med12	0.025641026	0.072463768	NA	1	0.894736842	0.0625	NA	0.411068327	Early	5	1	black
Nono	0.515151515	NA	0.958333333	0.072289157	0.5	0.828571429	0.308641975	0.530497901	Early	7	1	black
Atp7a	0.698564593	0.067620286	NA	0.178700361	0.193548387	NA	NA	0.284608407	Early	5	1	black
Prps1	NA	NA	NA	0.076923077	0	NA	NA	0.038461538	Early	2	1	black
Wnk3	NA	NA	NA	NA	NA	NA	0	0	Early	1	1	black
Ubqln2	NA	NA	0	NA	NA	NA	0	0	Early	3	1	black
Rbbp7	NA	NA	NA	NA	NA	NA	NA	NA	Early	0	1	black
Hdac6	0.560267857	NA	1	0.882352941	0.354477612	0.026315789	0.180722892	0.500689515	Mid+Late	7	2	black
Rbmx	NA	NA	NA	0	NA	NA	NA	0	Mid+Late	1	2	black
Bcap31	NA	NA	NA	NA	NA	NA	0.864864865	0.864864865	Mid+Late	1	2	black
Ofd1	0.025	1	NA	0	NA	NA	NA	0.341666667	Mid+Late	3	2	black
Gata1	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	3	black
Tbc1d25	1	0	NA	0.066666667	0.428571429	0.003430532	0	0.249778104	Mid+Late	7	3	black
Ebp	0.058823529	NA	NA	NA	NA	NA	NA	0.058823529	Mid+Late	1	3	black
Ftsj1	NA	NA	NA	NA	NA	0	NA	0	Mid+Late	1	3	black
Ids	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	3	black
Hmgn5	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	3	black
Acsl4	0	NA	NA	NA	NA	NA	NA	0	Mid+Late	1	3	black
Prdx4	NA	NA	NA	NA	NA	NA	0.013157895	0.013157895	Mid+Late	1	3	black
Sms	0.129032258	0.052631579	0	0.006097561	0.057142857	0.376344086	0.010309278	0.090222517	Mid+Late	8	3	black
Slc35a2	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	2	black
Syap1	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	3	black
Cdk16	0.857142857	0.015306122	0.010869565	0.161290323	0.861111111	0.125	0.866666667	0.413912378	Mid+Late	8	2	black
Siah1b	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	3	black
Smc1a	NA	NA	NA	0	NA	0.5	0.085106383	0.195035461	Mid+Late	3	2	black
Map7d2	NA	0.019230769	NA	NA	0.992337165	NA	0	0.337189311	Mid+Late	3	2	black
Gpkow	0.959183673	0.984126984	NA	0.966666667	0.984126984	NA	0.259615385	0.830743939	Mid+Late	5	3	black
Wdr45	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	3	black
Pcsk1n	NA	NA	NA	NA	NA	NA	0.888888889	0.888888889	Mid+Late	1	3	black
Ocrl	NA	NA	NA	NA	0	NA	NA	0	Mid+Late	1	3	black
Utp14a	NA	NA	NA	NA	NA	NA	NA	NA	Mid+Late	0	3	black
Kdm5c	0.958333333	NA	NA	NA	0.8125	NA	0.031746032	0.600859788	Mid+Late	4	3	black
