Gene				Gene			Proper_Name	Chromo	BPKM (polyA-)	BPKM (polyA+)	FoldChange	WaldStat	GeneDescription		
uc001hsz.2	NM_175055	B4DR52	B4DR52_HUMAN	HIST3H2BB	NM_175055	NP_778225	Hist3h2bb	chr1	96.4	0.6	170.4	16.3	"histone cluster 3, H2bb"		
uc002ghs.1	NR_002918			SNORA48	NR_002918		Snora48	chr17	1079.2	6.9	156.2	29.8	"Homo sapiens small nucleolar RNA, H/ACA box 48 (SNORA48), non-coding RNA."		
uc010mqv.2	NR_003704			SNORA84	NR_003704		Snora84	chr9	190.5	1.3	148.6	12.4	"Homo sapiens small nucleolar RNA, H/ACA box 84 (SNORA84), non-coding RNA."		
uc003ngz.2	NM_003518	Q6DRA6	H2B2D_HUMAN	HIST1H2BG	NM_003518	NP_003509	Hist1h2bg	chr6	802.0	5.5	144.7	46.7	"histone cluster 1, H2bg"		
uc004bra.1	NR_002449			SNORA65	NR_002449		Snora65	chr9	533.4	3.7	143.2	21.0	"Homo sapiens small nucleolar RNA, H/ACA box 65 (SNORA65), non-coding RNA."		
uc001tfu.1	NR_003015			SNORA53	NR_003015		Snora53	chr12	137.1	1.0	141.6	14.5	"Homo sapiens small nucleolar RNA, H/ACA box 53 (SNORA53), non-coding RNA."		
uc001lxd.1	NR_002982			SNORA54	NR_002982		Snora54	chr11	145.0	1.0	140.9	10.4	"Homo sapiens small nucleolar RNA, H/ACA box 54 (SNORA54), non-coding RNA."		
uc001rcf.3	NM_175054	B2R4R0	B2R4R0_HUMAN	HIST4H4	NM_175054	NP_778224	Hist4h4	chr12	110.7	0.8	133.4	36.0	"histone cluster 4, H4"		
uc003fdo.2	NR_003001			SCARNA7	NR_003001		Scarna7	chr3	51.1	0.5	111.9	10.1	"Homo sapiens small Cajal body-specific RNA 7 (SCARNA7), non-coding RNA."		
uc001kqu.1	NR_002954			SNORA12	NR_002954		Snora12	chr10	47.0	0.4	106.7	6.5	"Homo sapiens small nucleolar RNA, H/ACA box 12 (SNORA12), non-coding RNA."		
uc002nhq.1	NR_000012			SNORA68	NR_000012		Snora68	chr19	204.2	1.9	105.6	12.8	"Homo sapiens small nucleolar RNA, H/ACA box 68 (SNORA68), non-coding RNA."		
uc001fmn.1	NR_003005			SCARNA4	NR_003005		Scarna4	chr1	48.8	0.5	99.7	6.2	"Homo sapiens small Cajal body-specific RNA 4 (SCARNA4), non-coding RNA."		
uc003nha.1	NM_021052	Q96QV6	H2A1A_HUMAN	HIST1H2AE	NM_021052	NP_066390	Hist1h2ae	chr6	721.4	7.3	99.0	49.7	"histone cluster 1, H2ae"		
uc002eny.1	NR_002978			SNORA46	NR_002978		Snora46	chr16	21.5	0.2	97.0	4.2	"Homo sapiens small nucleolar RNA, H/ACA box 46 (SNORA46), non-coding RNA."		
uc003qsu.1	NR_002960			SNORA20	NR_002960		Snora20	chr6	113.7	1.2	94.6	9.5	"Homo sapiens small nucleolar RNA, H/ACA box 20 (SNORA20), non-coding RNA."		
uc010pbj.1	NM_001161334	Q6DRA6	H2B2D_HUMAN	HIST2H2BF	NM_001161334	NP_001154806	Hist2h2bf	chr1	8.4	0.1	93.0	12.3	"histone cluster 2, H2bf isoform b"		
uc003ngm.2	NM_003512	B2R4F7	B2R4F7_HUMAN	HIST1H2AC	NM_003512	NP_003503	Hist1h2ac	chr6	641.7	7.5	85.4	81.2	"histone cluster 1, H2ac"		
uc001boy.1	NR_002997			SCARNA1	NR_002997		Scarna1	chr1	69.1	0.9	80.9	8.3	"Homo sapiens small Cajal body-specific RNA 1 (SCARNA1), non-coding RNA."		
uc010dev.2	NR_003706			SNORA38B	NR_003706		Snora38b	chr17	46.3	0.6	79.4	6.0	"Homo sapiens small nucleolar RNA, H/ACA box 38B (retrotransposed) (SNORA38B), non-coding RNA."		
uc003ibz.1	NR_002963			SNORA24	NR_002963		Snora24	chr4	431.4	5.4	79.3	18.5	"Homo sapiens small nucleolar RNA, H/ACA box 24 (SNORA24), non-coding RNA."		
uc002ypo.2	NR_002996			SNORA80	NR_002996		Snora80	chr21	46.6	0.6	76.1	6.2	"Homo sapiens small nucleolar RNA, H/ACA box 80 (SNORA80), non-coding RNA."		
uc009yge.2	NR_004403			SNORD97	NR_004403		Snord97	chr11	91.1	1.2	75.3	8.8	"Homo sapiens small nucleolar RNA, C/D box 97 (SNORD97), non-coding RNA."		
uc001lrs.1	NR_002585			SNORA52	NR_002585		Snora52	chr11	210.6	3.5	60.7	13.0	"Homo sapiens small nucleolar RNA, H/ACA box 52 (SNORA52), non-coding RNA."		
uc002vuf.1	NR_003006			SCARNA6	NR_003006		Scarna6	chr2	39.0	0.6	60.5	7.9	"Homo sapiens small Cajal body-specific RNA 6 (SCARNA6), non-coding RNA."		
uc001urc.1	NR_002575			SNORA27	NR_002575		Snora27	chr13	221.7	3.8	57.6	12.9	"Homo sapiens small nucleolar RNA, H/ACA box 27 (SNORA27), non-coding RNA."		
uc002eoa.1	NR_002980			SNORA50	NR_002980		Snora50	chr16	15.4	0.3	56.5	3.5	"Homo sapiens small nucleolar RNA, H/ACA box 50 (SNORA50), non-coding RNA."		
uc003nhh.2	NM_003524	Q6DRA6	H2B2D_HUMAN	HIST1H2BH	NM_003524	NP_003515	Hist1h2bh	chr6	220.1	4.0	54.4	23.6	"histone cluster 1, H2bh"		
uc001vaa.1	NR_002967			SNORA31	NR_002967		Snora31	chr13	109.3	2.0	54.4	9.2	"Homo sapiens small nucleolar RNA, H/ACA box 31 (SNORA31), non-coding RNA."		
uc002gji.1	NR_003000			SCARNA21	NR_003000		Scarna21	chr17	38.0	0.7	53.1	5.6	"Homo sapiens small Cajal body-specific RNA 21 (SCARNA21), non-coding RNA."		
uc003tmy.2	NR_002919			SNORA5A	NR_002919		Snora5a	chr7	101.9	1.9	52.8	9.0	"Homo sapiens small nucleolar RNA, H/ACA box 5A (SNORA5A), non-coding RNA."		
uc001miq.2	DQ597482			DQ597482			Dq597482	chr11	3.4	0.1	48.5	5.1	full-length cDNA clone CS0DM002YL19 of Fetal liver of Homo sapiens (human).		
uc003tuj.2	NR_002961			SNORA22	NR_002961		Snora22	chr7	6.1	0.1	47.0	2.2	"Homo sapiens small nucleolar RNA, H/ACA box 22 (SNORA22), non-coding RNA."		
uc010hyw.1	NR_002586			SNORA63	NR_002586		Snora63	chr3	1374.4	29.5	46.6	33.1	"Homo sapiens small nucleolar RNA, H/ACA box 63 (SNORA63), non-coding RNA."		
uc002ght.2	NR_002604			SNORD10	NR_002604		Snord10	chr17	391.3	8.6	45.5	18.4	"Homo sapiens small nucleolar RNA, C/D box 10 (SNORD10), non-coding RNA."		
uc001ymv.1	NR_002964			SNORA28	NR_002964		Snora28	chr14	9.0	0.2	44.9	2.6	"Homo sapiens small nucleolar RNA, H/ACA box 28 (SNORA28), non-coding RNA."		
uc001owj.1	NR_000005			SNORD15A	NR_000005		Snord15a	chr11	89.4	2.1	42.3	8.8	"Homo sapiens small nucleolar RNA, C/D box 15A (SNORD15A), non-coding RNA."		
uc003tmz.1	NR_002991			SNORA5C	NR_002991		Snora5c	chr7	62.8	1.5	41.5	7.1	"Homo sapiens small nucleolar RNA, H/ACA box 5C (SNORA5C), non-coding RNA."		
uc003niy.1	NM_003495	B2R4R0	B2R4R0_HUMAN	HIST1H4I	NM_003495	NP_003486	Hist1h4i	chr6	107.8	2.9	37.4	15.3	"histone cluster 1, H4i"		
uc010hvo.2	NM_001123228	Q6UXP3	TM14E_HUMAN	TMEM14E	NM_001123228	NP_001116700	Tmem14e	chr3	3.3	0.1	37.2	5.0	transmembrane protein 14E		
uc003dtq.2	AF090939			AF090939			Af090939	chr3	1.0	0.0	35.0	3.5	"Homo sapiens clone HQ0641 PRO0641 mRNA, complete cds."		
uc010ghz.2	NR_002433			SNORD12C	NR_002433		Snord12c	chr20	53.7	1.5	34.7	4.9	"Homo sapiens small nucleolar RNA, C/D box 12C (SNORD12C), non-coding RNA."		
uc004cos.3	M25300			TVAS5			Tvas5	chrM	80938.3	2330.7	34.7	1230.0	"Homo sapiens mRNA expressed only in placental villi, clone SMAP47."		
uc009zhs.1	NM_001097643	Q50KG7	Q50KG7_HUMAN	TAS2R30	NM_001097643	NP_001091112	Tas2r30	chr12	2.0	0.1	33.3	3.3	type 2 taste receptor member 30		
uc011lzk.1	NM_005294	B2R8W9	B2R8W9_HUMAN	GPR21	NM_005294	NP_005285	Gpr21	chr9	4.1	0.1	32.7	6.3	G protein-coupled receptor 21		
uc010hyv.1	NR_002989			SNORA81	NR_002989		Snora81	chr3	643.0	20.1	32.0	25.7	"Homo sapiens small nucleolar RNA, H/ACA box 81 (SNORA81), non-coding RNA."		
uc003znn.1	NR_003009			SCARNA8	NR_003009		Scarna8	chr9	30.9	1.0	30.3	4.8	"Homo sapiens small Cajal body-specific RNA 8 (SCARNA8), non-coding RNA."		
uc002tay.1	NR_003070			SNORD89	NR_003070		Snord89	chr2	112.2	3.9	28.8	8.6	"Homo sapiens cDNA FLJ44273 fis, clone TOVAR2001281."		
uc010fgr.1	NR_004378			SNORD94	NR_004378		Snord94	chr2	112.6	3.9	28.6	9.4	"Homo sapiens small nucleolar RNA, C/D box 94 (SNORD94), non-coding RNA."		
uc002jtl.2	NR_003013			SCARNA16	NR_003013		Scarna16	chr17	84.0	3.0	28.0	9.5	"Homo sapiens small Cajal body-specific RNA 16 (SCARNA16), non-coding RNA."		
uc002hqz.1	NR_002576			SNORA21	NR_002576		Snora21	chr17	130.4	4.7	27.6	10.0	"Homo sapiens small nucleolar RNA, H/ACA box 21 (SNORA21), non-coding RNA."		
uc003ngy.2	NM_003545	B2R4R0	B2R4R0_HUMAN	HIST1H4E	NM_003545	NP_003536	Hist1h4e	chr6	157.5	6.2	25.3	18.3	"histone cluster 1, H4e"		
uc001xvi.1	NR_003021			SNORA79	NR_003021		Snora79	chr14	6.9	0.3	24.5	2.3	"Homo sapiens small nucleolar RNA, H/ACA box 79 (SNORA79), non-coding RNA."		
uc001gkx.1	NR_002998			SCARNA3	NR_002998		Scarna3	chr1	5.6	0.2	23.8	2.1	"Homo sapiens small Cajal body-specific RNA 3 (SCARNA3), non-coding RNA."		
uc002wqf.1	NR_003045			SNORD17	NR_003045		Snord17	chr20	178.6	7.6	23.5	15.4	"Homo sapiens small nucleolar RNA, C/D box 17 (SNORD17), non-coding RNA."		
uc001wat.1	NR_003029			SNORD9	NR_003029		Snord9	chr14	15.7	0.7	23.5	3.0	"Homo sapiens small nucleolar RNA, C/D box 9 (SNORD9), non-coding RNA."		
uc009yoa.1	NR_004390			SNORA57	NR_004390		Snora57	chr11	155.1	7.2	21.5	11.4	"Homo sapiens small nucleolar RNA, H/ACA box 57 (SNORA57), non-coding RNA."		
uc002vro.2	NM_000867	B2R9D5	B2R9D5_HUMAN	HTR2B	NM_000867	NP_000858	Htr2b	chr2	1.1	0.1	21.2	3.8	5-hydroxytryptamine (serotonin) receptor 2B		
uc003nfw.2	NM_005319	A8K4I2	A8K4I2_HUMAN	HIST1H1C	NM_005319	NP_005310	Hist1h1c	chr6	532.4	25.4	21.0	46.6	"histone cluster 1, H1c"		
uc010shj.1	NM_176888	P59542	T2R48_HUMAN	TAS2R19	NM_176888	NP_795369	Tas2r19	chr12	2.7	0.1	20.5	3.7	"taste receptor, type 2, member 19"		
uc002iyp.1	NR_002999			SCARNA20	NR_002999		Scarna20	chr17	17.4	0.9	19.6	3.5	"Homo sapiens small Cajal body-specific RNA 20 (SCARNA20), non-coding RNA."		
uc002xin.1	NR_003017			SNORA71C	NR_003017		Snora71c	chr20	121.1	6.3	19.2	9.6	"Homo sapiens small nucleolar RNA, H/ACA box 71C (SNORA71C), non-coding RNA."		
uc009ywg.1	NR_002959			SNORA18	NR_002959		Snora18	chr11	328.4	17.5	18.8	15.4	"Homo sapiens small nucleolar RNA, H/ACA box 18 (SNORA18), non-coding RNA."		
uc001mgq.1	NR_002580			SNORA3	NR_002580		Snora3	chr11	114.4	6.2	18.6	9.0	"Homo sapiens small nucleolar RNA, H/ACA box 3 (SNORA3), non-coding RNA."		
uc001rsb.1	NR_002950			SNORA2A	NR_002950		Snora2a	chr12	23.9	1.3	18.2	4.2	"Homo sapiens small nucleolar RNA, H/ACA box 2A (SNORA2A), non-coding RNA."		
uc010cml.1	NR_002912			SNORA67	NR_002912		Snora67	chr17	327.7	18.0	18.2	15.7	"Homo sapiens small nucleolar RNA, H/ACA box 67 (SNORA67), non-coding RNA."		
uc009ywe.2	NR_002920			SNORA8	NR_002920		Snora8	chr11	380.6	21.0	18.1	17.0	"Homo sapiens small nucleolar RNA, H/ACA box 8 (SNORA8), non-coding RNA."		
uc001fmk.1	NR_002974			SNORA42	NR_002974		Snora42	chr1	18.2	1.0	17.8	3.7	"Homo sapiens small nucleolar RNA, H/ACA box 42 (SNORA42), non-coding RNA."		
uc001qzl.2	NM_176890	P59544	T2R50_HUMAN	TAS2R50	NM_176890	NP_795371	Tas2r50	chr12	1.1	0.1	17.7	2.4	"taste receptor, type 2, member 50"		
uc002cnq.2	NR_002326			SNORA64	NR_002326		Snora64	chr16	136.3	8.0	16.9	10.0	"Homo sapiens small nucleolar RNA, H/ACA box 64 (SNORA64), non-coding RNA."		
uc002jeb.2	NR_002995			SNORA76	NR_002995		Snora76	chr17	46.4	2.8	16.7	5.8	"Homo sapiens small nucleolar RNA, H/ACA box 76 (SNORA76), non-coding RNA."		
uc001hwm.1	NR_002956			SNORA14B	NR_002956		Snora14b	chr1	37.8	2.3	16.5	5.3	"Homo sapiens small nucleolar RNA, H/ACA box 14B (SNORA14B), non-coding RNA."		
uc001ljv.1	NM_001039762	Q6ZSG2	CJ141_HUMAN	FAM196A	NM_001039762	NP_001034851	Fam196a	chr10	1.0	0.1	16.4	4.9	hypothetical protein LOC642938		
uc004box.2	NM_001045476	Q5JTN6	WDR38_HUMAN	WDR38	NM_001045476	NP_001038941	Wdr38	chr9	1.2	0.1	16.1	2.9	WD repeat domain 38		
uc001sri.1	NM_175895	B2RMN9	B2RMN9_HUMAN	C12orf61	NM_175895	NP_787091	C12orf61	chr12	3.5	0.2	16.0	5.6	hypothetical protein LOC283416		
uc002vef.2	NR_002763			LOC29034	NR_002763		Loc29034	chr2	4.0	0.3	14.8	7.0	"Homo sapiens clone HQ0132 PRO0132 mRNA, complete cds."		
uc003pwm.2	NM_000493	A1L4P2	A1L4P2_HUMAN	COL10A1	NM_000493	NP_000484	Col10a1	chr6	1.1	0.1	14.7	4.4	type X collagen alpha 1 precursor		
uc002pti.1	NR_003069			SNORD88C	NR_003069		Snord88c	chr19	16.2	1.1	14.6	2.9	"Homo sapiens small nucleolar RNA, C/D box 88C (SNORD88C), non-coding RNA."		
uc003cjs.1	NR_002325			SNORA6	NR_002325		Snora6	chr3	179.2	12.4	14.5	11.9	"Homo sapiens small nucleolar RNA, H/ACA box 6 (SNORA6), non-coding RNA."		
uc010nfp.2	NR_023358			SCARNA9L	NR_023358		Scarna9l	chrX	23.7	1.6	14.4	6.6	"Homo sapiens small Cajal body-specific RNA 9-like (retrotransposed) (SCARNA9L), non-coding RNA."		
uc003gzq.1	NR_003016			SNORA26	NR_003016		Snora26	chr4	28.7	2.0	14.4	4.3	"Homo sapiens small nucleolar RNA, H/ACA box 26 (SNORA26), non-coding RNA."		
uc003gej.2	NR_003004			SCARNA22	NR_003004		Scarna22	chr4	36.2	2.6	14.1	4.9	"Homo sapiens small Cajal body-specific RNA 22 (SCARNA22), non-coding RNA."		
uc003zhu.2	BC069756			BC069756			Bc069756	chr9	2.1	0.2	13.9	3.9	"Homo sapiens PRO1600 mRNA, complete cds."		
uc003lld.1	BC041908			BC041908			Bc041908	chr5	1.4	0.1	12.6	4.3	Homo sapiens cDNA clone IMAGE	5299063	
uc001pdv.2	NR_002569			SCARNA9	NR_002569		Scarna9	chr11	104.2	8.4	12.4	13.8	"Homo sapiens small Cajal body-specific RNA 9 (SCARNA9), non-coding RNA."		
uc002pbx.3	NM_006732	A8K9K5	A8K9K5_HUMAN	FOSB	NM_006732	NP_006723	Fosb	chr19	5.7	0.5	12.1	12.7	FBJ murine osteosarcoma viral oncogene homolog B		
uc004cor.1	DQ582265			DQ582265			Dq582265	chrM	79.3	6.6	12.1	3.6	DQ582265		
uc002xim.1	NR_002911			SNORA71A	NR_002911		Snora71a	chr20	44.8	3.7	12.1	5.6	"Homo sapiens small nucleolar RNA, H/ACA box 71A (SNORA71A), non-coding RNA."		
uc001ase.2	NM_021146	B2R9B2	B2R9B2_HUMAN	ANGPTL7	NM_021146	NP_066969	Angptl7	chr1	1.2	0.1	11.7	3.7	angiopoietin-like 7 precursor		
uc003nix.1	NM_080593	A4FU05	A4FU05_HUMAN	HIST1H2BK	NM_080593	NP_542160	Hist1h2bk	chr6	283.3	25.4	11.2	34.3	"histone cluster 1, H2bk"		
uc003ngr.2	NM_021063	Q6DRA6	H2B2D_HUMAN	HIST1H2BD	NM_021063	NP_066407	Hist1h2bd	chr6	92.6	8.8	10.6	20.3	"histone cluster 1, H2bd"		
uc011mcb.1	NM_198180	P83859	OX26_HUMAN	QRFP	NM_198180	NP_937823	Qrfp	chr9	3.3	0.3	10.1	2.6	RF(Arg-Phe)amide family 26 amino acid peptide		
uc009ywh.2	NR_002973			SNORA40	NR_002973		Snora40	chr11	168.1	16.8	10.0	10.2	"Homo sapiens small nucleolar RNA, H/ACA box 40 (SNORA40), non-coding RNA."		
uc002wzs.1	NM_080825	Q1AHR2	Q1AHR2_HUMAN	C20orf144	NM_080825	NP_543015	C20orf144	chr20	2.1	0.2	9.9	2.4	hypothetical protein LOC128864		
uc003ebt.2	NM_002338	Q13449	LSAMP_HUMAN	LSAMP	NM_002338	NP_002329	Lsamp	chr3	1.8	0.2	9.8	4.9	limbic system-associated membrane protein		
